turbine_id,x_coord,y_coord
1,252700.49915306384,2180771.5819562776
2,252772.69443961215,2181009.5846007788
3,252847.30217943725,2181185.2046004925
4,252910.35755633345,2181355.7894028453
5,252978.9324191502,2181569.5957576665
6,253062.31232202152,2181786.660570831
7,253132.47606855657,2181996.981291338
8,253215.9968714301,2182224.436023893
9,253296.02022168736,2182436.3521703635
10,254144.88133077067,2182386.495618998
11,254220.26065729948,2182619.2616381766
12,254283.61014808464,2182812.360101042
13,254345.2231414802,2182998.555016751
14,253564.38108485707,2182616.4038336864
15,253819.98719569706,2183157.762767825
16,253331.57509154532,2183308.7532235044
17,253162.10151135383,2182816.678666484
18,253235.4345661363,2183034.4646259747
