Distance (m),0,30,60,90,120,150,180,210,240,270,300,330,360
10,9.683619737312036,11.314134054020405,12.447124819432014,15.415612784084509,1.306347750358706,0.4635941491322319,0.0,0.0,1.560476147339759,16.046181768577316,13.313597350324704,9.327064081468738,9.683619737312036
20,3.6911793235518395,3.5752945918761414,6.485163283500935,6.53967076316551,0.0,0.0,0.0,0.0,0.0,6.830655408749655,6.126518951971492,5.457520797847685,3.6911793235518395
30,2.962722209882214,2.1782051670205425,4.106515982418509,4.280561833217776,0.0,0.0,0.0,0.0,0.0,3.7901662513975656,3.3075949548185006,4.008040676087064,2.962722209882214
40,2.564589716057467,1.60665759550928,3.0638778400807483,2.8076205304588138,0.0,0.0,0.0,0.0,0.0,2.8908861010895426,2.3985287112580553,3.2981242642188517,2.564589716057467
50,2.274897052859444,1.2844043532104241,1.8878412136034368,1.989369871277868,0.0,0.0,0.0,0.0,0.0,2.2816387659732826,1.9205359907900201,2.4502910263684594,2.274897052859444
60,1.8367416558965703,1.0709022941164947,1.5094258947000965,1.686729357873585,0.0,0.0,0.0,0.0,0.0,1.3467011780187677,1.543897151680527,2.093904715263643,1.8367416558965703
70,1.3587307172602847,0.9639466238565643,1.3765605816047193,1.3864173507013249,0.0,0.0,0.0,0.0,0.0,1.1108648290090766,1.1814093127401326,1.5880352778464197,1.3587307172602847
80,0.9136547380058522,0.4906609153464149,1.1445142046352503,0.7966148880855,0.0,0.0,0.0,0.0,0.0,0.9723660791965855,0.7500560153334832,1.2647253284601587,0.9136547380058522
90,0.4721263734632189,0.42055770682361965,1.0329216973670874,0.6528566694705642,0.0,0.0,0.0,0.0,0.0,0.920594516849918,0.6895037803261562,1.1945938867897279,0.4721263734632189
100,0.0,0.3504418138023972,0.8358948177979775,0.5967841121964156,0.0,0.0,0.0,0.0,0.0,0.5411806463247503,0.6281474376161704,1.1243681343736567,0.0
110,0.0,0.3504418138023972,0.6809159451634578,0.5695491304713254,0.0,0.0,0.0,0.0,0.0,0.38259576046053595,0.5628037338456271,1.0540740509149358,0.0
120,0.0,0.17534561736373452,0.4420918591996304,0.5096341250032483,0.0,0.0,0.0,0.0,0.0,0.35254186894869355,0.5120635504855869,0.9487394642242053,0.0
130,0.0,0.0,0.4420918591996304,0.33360961366679104,0.0,0.0,0.0,0.0,0.0,0.35254186894869355,0.35503230010909387,0.5281718880801993,0.0
140,0.0,0.0,0.39888618996026376,0.20634770165691813,0.0,0.0,0.0,0.0,0.0,0.3115759599171374,0.32195736811821285,0.0,0.0
150,0.0,0.0,0.39888618996026376,0.18083034268363443,0.0,0.0,0.0,0.0,0.0,0.28145865894646,0.29364110859278464,0.0,0.0
